name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Sylsjø kraftverk,,Statkraft,3.30 MW,hydro,water-storage,,,,,,
Hedefors kraftverk,,Lerum Energy,3.10 MW,hydro,run-of-the-river,,,,,,
Forsby solpark,,Kraftringen,3.00 MW,solar,photovoltaic,,,,,,
Törneby Solpark,,Törneby driftförening,3.00 MW,solar,photovoltaic,,,,,,
Vindpark Byråsen,,Dala Vind AB,3.00 MW,wind,wind_turbine,,,,,,
Östersund Solpark,,Östersund Solpark ekonomisk förening (Jämtkraft),3.00 MW,solar,photovoltaic,,,,,,
Timsfors kraftstation,,,2.94 MW,hydro,,,,,,,
Kviens kraftverk,,Malungs Elverk AB,2.70 MW,hydro,,,,,,,
Lenninge,,Fortum Generation AB,2.70 MW,hydro,run-of-the-river,,,,,,
Solsidan,,Varberg Energi;Coop Varberg,2.70 MW,solar,photovoltaic,Q56301169,57.033169,12.382328,Varberg Municipality,Halland County,Sweden
Axelfors vattenkraftverk,,,2.57 MW,hydro,,,,,,,
Hulta kraftstation,,,2.57 MW,hydro,,Q132176862,57.467598499,12.612625303,Mark Municipality,Västra Götaland County,Sweden
Björkborns kraftverk,,Fortum,2.50 MW,hydro,run-of-the-river,,,,,,
Fröslida kraftstation,,,2.40 MW,hydro,,,,,,,
Karlskrona Solpark,,Affärsverken,2.40 MW,solar,photovoltaic,,,,,,
Björnåsens kraftverk,,Malungs Elverk AB,2.30 MW,hydro,,,,,,,
Brickan (Svegström),,,2.00 MW,wind,wind_turbine,,,,,,
Råda kraftverk,,Fortum,2.00 MW,hydro,run-of-the-river,,,,,,
Sperlingsholm kraftstation,,Sperlingsholms gods AB,2.00 MW,hydro,,,,,,,
Jonsereds Kraftverk,,,1.90 MW,hydro,,Q108981356,,,,,
Stjern kraftverk,,Fortum,1.90 MW,hydro,run-of-the-river,,,,,,
Vessige kraftstation,,Vessige Vattenkraft AB,1.90 MW,hydro,,,,,,,
Laggåsen,,Fortum Generation AB,1.80 MW,hydro,,Q96758949,,,,,
Ljungby kraftverk,,Ljungby Energi,1.80 MW,hydro,run-of-the-river,,,,,,
Sjuntorps kraftverk,,,1.80 MW,hydro,,,,,,,
Bränneberg vindkraftverk,,,1.70 MW,wind,wind_turbine,,,,,,
Säters värmeverk,,Hedemora Energi,1.70 MW,biomass,combustion,,,,,,
NÄLs solpark,,,1.63 MW,solar,photovoltaic,,,,,,
[unnamed],,E.ON,1.60 MW,solar,photovoltaic,,,,,,
Hanefors kraftstation,,Forsbacka Kraft AB,1.50 MW,hydro,run-of-the-river,,,,,,
Susegårdens Solpark,,E.ON,1.50 MW,solar,photovoltaic,,,,,,
Nyebro kraftstation,,,1.40 MW,hydro,,,,,,,
Frillesås solpark,,Frillesås solpark AB,1.20 MW,solar,photovoltaic,,,,,,
Slottsmöllan kraftstation,,,1.20 MW,hydro,,,,,,,
Oskarström övre kraftstation,,,1.10 MW,hydro,,,,,,,
Kungsfors kraftstation,,,1.06 MW,hydro,,,,,,,
Lofssjöns Kraftverk,,Härjeåns Kraft AB,1.06 MW,hydro,water-storage,,,,,,
Gustavsberg kraftstation,,,1.00 MW,hydro,,,,,,,
Gyllenfors kraftstation,,,1.00 MW,hydro,run-of-the-river,,,,,,
MegaSol,,Arvika Kraft,1.00 MW,solar,photovoltaic,Q18816594,59.6786,12.59154,Arvika Municipality,Värmland County,Sweden
Slitevind Eriksfält,,Slitevind AB,1.00 MW,wind,wind_turbine,,,,,,
Solparken,,Kraftpojkarna,1.00 MW,solar,photovoltaic,Q18332775,59.625277777,16.750833333,Västerås Municipality,Västmanland County,Sweden
[unnamed],,,1.00 MW,hydro,run-of-the-river,Q49097443,59.710778,16.211306,,,Sweden
[unnamed],,Småkraft,950 kW,hydro,run-of-the-river,,,,,,
Oskarström nedre kraftstation,,,800 kW,hydro,,,,,,,
Tranebergs kraftverk,,Fortum,800 kW,hydro,,,,,,,
Stalpet Vattenkraftverket,,Skånska Energi AB,780 kW,hydro,,,,,,,
Rydal kraftstation,,,680 kW,hydro,,,,,,,
Kinnaströms kraftstation,,,625 kW,hydro,run-of-the-river,,,,,,
Eggsjöns kraftverk,,Fortum,600 kW,hydro,water-storage,,,,,,
Fritsla kraftverk,,,600 kW,hydro,,,,,,,
Hörle Kraftstation,,Hörle Bruk AB,500 kW,hydro,water-storage,,,,,,
Kullagård kraftstation,,,450 kW,hydro,,,,,,,
Solhagen i Torphyttan,,Linde energi,450 kW,solar,photovoltaic,,,,,,
Ågesta gårds solcellspark,,,400 kW,solar,photovoltaic,,,,,,
Kollerö kraftstation,,Uddevalla Energi,370 kW,hydro,,,,,,,
Floda kraftverk,,Lerum Energi,360 kW,hydro,run-of-the-river,,,,,,
Kraftstationen Marbäck,,Sperlingsholms gods AB,350 kW,hydro,,,,,,,
Vattenkraftverket,,Skånska Energi AB,320 kW,hydro,,,,,,,
[unnamed],,Solel i Sala & Heby,312 kW,solar,photovoltaic,,,,,,
Ågården kraftstation,,,300 kW,hydro,,,,,,,
Bobergs kraftstation,,,275 kW,hydro,run-of-the-river,,,,,,
Norrstävle Gårds solpark,,,253 kW,solar,photovoltaic,,,,,,
Solevalla solcellspark,,Uddevalla Energi,253 kW,solar,photovoltaic,,,,,,
[unnamed],,,253 kW,solar,photovoltaic,,,,,,
Hulteby,,Privat,220 kW,hydro,,,,,,,
Mölneby Kraftverk,,Mölneby Gård,200 kW,hydro,run-of-the-river,,,,,,
Sembs mölla,,,200 kW,hydro,,,,,,,
Björbo,,Åkerströms Björbo AB,160 kW,hydro,,,,,,,
Hillefors kraftverk,,Erum Energi,160 kW,hydro,run-of-the-river,,,,,,
Berte Qvarn,,Bete Qvarn AB,150 kW,hydro,,,,,,,
Lomfors kraftverk,,Lomforskraft HB,140 kW,hydro,,,,,,,
[unnamed],,Solel i Sala & Heby,78 kW,solar,photovoltaic,,,,,,
Kinnareds kraftstation,,,75 kW,hydro,,,,,,,
Käppesjöns kraftverk,,,75 kW,hydro,,,,,,,
Jädersfors kraftverk,,,37 kW,hydro,,,,,,,
[unnamed],,Solel i Sala & Heby,36 kW,solar,photovoltaic,,,,,,
2284-V-018,,Vindin AB,,wind,wind_turbine,,,,,,
Aapua Vindpark,,,,wind,wind_turbine,,,,,,
Abelvattnets kraftverk,,,,hydro,water-storage,,,,,,
Alered,,ewz Atlantic Sverige AB,,wind,wind_turbine,Q131993402,56.919833333,12.824027777,Falkenberg Municipality,Halland County,Sweden
Allöverket,,,,biomass,,,,,,,
Anneberg,,Eolus Vind AB,,wind,wind_turbine,,,,,,
Annefors kvarn,,,,hydro,,,,,,,
Annelöv,,Eolus Vind AB,,wind,wind_turbine,,,,,,
Apelnäs kraftverk,,,,hydro,,,,,,,
Arvidstorp vind,,,,wind,wind_turbine,,,,,,
Askeberga,,Vindia AB,,wind,wind_turbine,,,,,,
Askomebjär,,Askome Vind AB,,wind,wind_turbine,Q131987382,57.013916666,12.704138888,Falkenberg Municipality,Halland County,Sweden
"Assjö 1, Ella",,Sverige Vindkraftkooperativ Ek för,,wind,wind_turbine,,,,,,
Assmebro Kraftstation,,,,hydro,,,,,,,
Assmebro kraftverk,,,,hydro,,,,,,,
Assmåsa,,Tre Vind AB,,wind,wind_turbine,,,,,,
Axelsvik 1,,Kalix Wind AB,,wind,wind_turbine,,,,,,
Badene,,Vindenergi i Badene AB,,wind,wind_turbine,,,,,,
Bast,,Älvsborgsvind AB (publ),,wind,wind_turbine,,,,,,
Bastusel kraftverk,,,,hydro,,,,,,,
Bergnäs,,,,hydro,,Q81066601,65.677530555,18.112930555,Arjeplog Municipality,Norrbotten County,Sweden
Bergvattnet,,,,hydro,water-storage,,,,,,
Bergvik,,,,hydro,water-storage,,,,,,
