name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Kalajärven voimalaitos,Kalajärvi power plant,Seinäjoen Energia Oy,1.00 MW,hydro,water-storage,,,,,,
Lumparland,,,1.00 MW,wind,,,,,,,
Kalliomäen tunnelivesivoimalaitos (Päijänne-tunneli),,,830 kW,hydro,,,,,,,
[unnamed],,,750 kW,solar,photovoltaic,,,,,,
Mäkelänkosken voimalaitos,,Koskienergia,700 kW,hydro,,,,,,,
Hourunkosken voimalaitos,,Koskienergia,600 kW,hydro,,,,,,,
Ala-Utoksen voimalaitos,,Fortum,500 kW,hydro,,Q11850485,64.75083333,26.45166667,Utajärvi,North Ostrobothnia,Finland
Jolmankosken voimalaitos,,Tornionlaakson Voima,500 kW,hydro,run-of-the-river,,,,,,
Pirttikosken voimalaitos,,Korpelan Voima,500 kW,hydro,run-of-the-river,Q11888264,63.551538888,23.699469444,Kaustinen,Central Ostrobothnia,Finland
[unnamed],,,415 kW,solar,photovoltaic,,,,,,
Huopanankosken voimalaitos,,Koskienergia Oy,300 kW,hydro,run-of-the-river,,,,,,
Jylhänkosken voimalaitos,,Jylhän sähköosuuskunta,300 kW,hydro,run-of-the-river,,,,,,
Kannuskosken voimalaitos,,,250 kW,hydro,,Q11869642,60.965278,27.243611,Kouvola,Kymenlaakso,Finland
Jätekukon aurinkovoimala,,Jätekukko Oy,109 kW,solar,photovoltaic,,,,,,
Iloharjun aurinkolämpövoimala,,Kuopion Energia Oy,100 kW,solar,thermal,,,,,,
[unnamed],,,72 kW,solar,photovoltaic,,,,,,
[unnamed],,,18 kW,solar,photovoltaic,,,,,,
Ala-Vääräkosken voimalaitos,,,,hydro,,,,,,,
Alahärmän kaukolämpölaitos,,Kauhavan Kaukolämpö Oy,,biomass,combustion,,,,,,
Aronkylän lämpölaitos,,Kauhajoen Lämpöhuolto Oy,,biomass,combustion,,,,,,
Aurinkopuisto,,Sallila Energia Oy,,solar,,,,,,,
Aurinkovoimala,,,,solar,photovoltaic,,,,,,
Biolämpölaitos,,Suur-Savon Sähkö,,biomass,combustion,,,,,,
Ediskoski,,Helen,,hydro,,,,,,,
Forssan vesivoimala,,,,hydro,,,,,,,
Fortum Kivenlahden lämpölaitos,,Fortum,,biomass,combustion,,,,,,
Hervannan hakelämpölaitos,,Tampereen Energia,,biomass,combustion,,,,,,
Hiirikosken Energia Oy,,,,hydro,,,,,,,
Hovinsaaren voimalaitos,,Kotkan Energia,,biomass,,,,,,,
Ikaalisten aurinkopuisto,,,,solar,photovoltaic,,,,,,
Juotaksen voimalaitos,,Koillislapin sähkö,,hydro,,,,,,,
Järvenpään voimalaitos,,,,biomass,combustion,,,,,,
Karsinakosken voimala,,,,hydro,run-of-the-river,,,,,,
Kauhavan lämpölaitos,,Kauhavan Kaukolämpö,,biomass,combustion,,,,,,
Kausalan Lämpö OY,,,,biomass,combustion,,,,,,
Kemiön biolämpölaitos,,Kimitoöns Värme Ab,,biomass,combustion,,,,,,
Keravan aurinkovoimala,The Kerava Solar Plant,Keravan Energia Oy,,solar,photovoltaic,,,,,,
Keravan lämpövoimalaitos,,,,biomass,,,,,,,
Korvensuunkosken voimalaitos,,,,hydro,,,,,,,
Kotkamills Power Station,,,,biomass,,,,,,,
Kymijärvi III,,Lahti Energia,,biomass,combustion,,,,,,
Laukkosken vesivoimala,,Porvoon energia,,hydro,run-of-the-river,,,,,,
Långnabba wind farm,,,,wind,,Q124062530,60.16026,19.55913,Eckerö,Åland,Finland
Metsa Äänekoski (Sellu) Bioproduct Mill power station,,,,biomass,,,,,,,
Miilun lämpökeskus,,Outokummun Energia Oy,,biomass,combustion,,,,,,
Myllykosken voimala,,,,hydro,run-of-the-river,,,,,,
Mäntsälän Biovoima Oy,,Mäntsälän Biovoima Oy,,biomass,,,,,,,
Oksavan voimalaitos,,,,hydro,run-of-the-river,,,,,,
Onnelan aurinkovoimala,,Kesko Oyj,,solar,photovoltaic,,,,,,
Oomi Vihreäsaari 1,,,,solar,photovoltaic,,,,,,
Orapac solkraftverk,,Orapac,,solar,photovoltaic,,,,,,
Orikedon biolämpökeskus,,Turun Seudun Energiatuotanto Oy,,biomass,combustion,,,,,,
Pikikujan lämpölaitos,,Kauhajoen Lämpöhuolto Oy,,biomass,combustion,,,,,,
Porraskosken voimalaitos,,,,hydro,water-storage,,,,,,
Puntarikosken voimalaitos,,,,hydro,,,,,,,
Pöyryn voimala,,,,hydro,,,,,,,
